Experiment	Flowpot	Plant	R401	Freshweight
III	3	1	54	1.7
III	3	1	56	4.7
III	3	1	54DD	11.8
III	3	1	56DD	2.1
III	3	1	DD	3.1
III	3	1	HK	11.6
III	3	1	WT	10.2
III	3	2	54	9.1
III	3	2	56	8.8
III	3	2	54DD	5.9
III	3	2	56DD	7.5
III	3	2	DD	2.4
III	3	2	HK	13.2
III	3	2	WT	6.6
III	3	3	54	8.4
III	3	3	56	7.1
III	3	3	54DD	14.9
III	3	3	56DD	3.7
III	3	3	DD	3.4
III	3	3	HK	0
III	3	3	WT	5.5
III	3	4	54	7
III	3	4	56	4.9
III	3	4	54DD	5.2
III	3	4	56DD	2.8
III	3	4	DD	9
III	3	4	HK	0
III	3	4	WT	4
III	3	5	54	2
III	3	5	56	2.9
III	3	5	54DD	0
III	3	5	56DD	4.8
III	3	5	DD	2.3
III	3	5	HK	0
III	3	5	WT	0.8
III	3	6	54	0
III	3	6	56	0
III	3	6	54DD	0
III	3	6	56DD	0
III	3	6	DD	0
III	3	6	HK	0
III	3	6	WT	0
III	4	1	54	5.4
III	4	1	56	7.2
III	4	1	54DD	14.4
III	4	1	56DD	3
III	4	1	DD	4.8
III	4	1	HK	4
III	4	1	WT	16
III	4	2	54	7.2
III	4	2	56	6.4
III	4	2	54DD	5.9
III	4	2	56DD	9.8
III	4	2	DD	2.6
III	4	2	HK	7.7
III	4	2	WT	2.9
III	4	3	54	6.5
III	4	3	56	6.1
III	4	3	54DD	4.4
III	4	3	56DD	5.5
III	4	3	DD	2.6
III	4	3	HK	9.9
III	4	3	WT	0
III	4	4	54	4.4
III	4	4	56	4.7
III	4	4	54DD	0
III	4	4	56DD	3.3
III	4	4	DD	6.1
III	4	4	HK	2.9
III	4	4	WT	0
III	4	5	54	3.6
III	4	5	56	0.6
III	4	5	54DD	0
III	4	5	56DD	1.3
III	4	5	DD	0
III	4	5	HK	0
III	4	5	WT	0
III	4	6	54	0
III	4	6	56	0
III	4	6	54DD	0
III	4	6	56DD	0
III	4	6	DD	0
III	4	6	HK	0
III	4	6	WT	0
III	5	1	54	7.5
III	5	1	56	8.8
III	5	1	54DD	5.3
III	5	1	56DD	6.5
III	5	1	DD	10.8
III	5	1	HK	6.8
III	5	1	WT	9.8
III	5	2	54	13.2
III	5	2	56	9.5
III	5	2	54DD	5.9
III	5	2	56DD	8.4
III	5	2	DD	11.7
III	5	2	HK	5.9
III	5	2	WT	5.7
III	5	3	54	5.8
III	5	3	56	7.3
III	5	3	54DD	6
III	5	3	56DD	2.9
III	5	3	DD	3.6
III	5	3	HK	0
III	5	3	WT	4.6
III	5	4	54	4.8
III	5	4	56	1.4
III	5	4	54DD	6.1
III	5	4	56DD	5.3
III	5	4	DD	0
III	5	4	HK	0
III	5	4	WT	2.4
III	5	5	54	7.1
III	5	5	56	0
III	5	5	54DD	0
III	5	5	56DD	1.9
III	5	5	DD	0
III	5	5	HK	0
III	5	5	WT	1.2
III	5	6	54	0
III	5	6	56	0
III	5	6	54DD	0
III	5	6	56DD	0
III	5	6	DD	0
III	5	6	HK	0
III	5	6	WT	0
III	6	1	54	6
III	6	1	56	6.6
III	6	1	54DD	5.3
III	6	1	56DD	2.8
III	6	1	DD	1.4
III	6	1	HK	7.1
III	6	1	WT	1.7
III	6	2	54	6.7
III	6	2	56	10.1
III	6	2	54DD	4.2
III	6	2	56DD	8.2
III	6	2	DD	2.1
III	6	2	HK	12.3
III	6	2	WT	4.3
III	6	3	54	2.3
III	6	3	56	8.8
III	6	3	54DD	5.7
III	6	3	56DD	2.6
III	6	3	DD	2.8
III	6	3	HK	0
III	6	3	WT	4.5
III	6	4	54	14.8
III	6	4	56	2.8
III	6	4	54DD	4.9
III	6	4	56DD	2.8
III	6	4	DD	0.3
III	6	4	HK	0
III	6	4	WT	5.6
III	6	5	54	4.8
III	6	5	56	1.1
III	6	5	54DD	1.2
III	6	5	56DD	5
III	6	5	DD	1.1
III	6	5	HK	0
III	6	5	WT	1.2
III	6	6	54	0
III	6	6	56	0.2
III	6	6	54DD	0
III	6	6	56DD	0
III	6	6	DD	0
III	6	6	HK	0
III	6	6	WT	0
III	7	1	54	6.9
III	7	1	56	1.3
III	7	1	54DD	5.2
III	7	1	56DD	4
III	7	1	DD	3.9
III	7	1	HK	7.1
III	7	1	WT	7.8
III	7	2	54	4.1
III	7	2	56	11.5
III	7	2	54DD	5.3
III	7	2	56DD	2.6
III	7	2	DD	1.6
III	7	2	HK	5.5
III	7	2	WT	2.2
III	7	3	54	7.8
III	7	3	56	3.8
III	7	3	54DD	10.3
III	7	3	56DD	2.9
III	7	3	DD	0.5
III	7	3	HK	0
III	7	3	WT	0.9
III	7	4	54	2
III	7	4	56	9.3
III	7	4	54DD	3.1
III	7	4	56DD	4.2
III	7	4	DD	0
III	7	4	HK	0
III	7	4	WT	0
III	7	5	54	3.9
III	7	5	56	1.9
III	7	5	54DD	2.3
III	7	5	56DD	1
III	7	5	DD	0
III	7	5	HK	0
III	7	5	WT	0
III	7	6	54	0
III	7	6	56	0
III	7	6	54DD	0
III	7	6	56DD	0
III	7	6	DD	0
III	7	6	HK	0
III	7	6	WT	0
III	8	1	54	5.8
III	8	1	56	2.7
III	8	1	54DD	4.8
III	8	1	56DD	8.6
III	8	1	DD	7.4
III	8	1	HK	1.5
III	8	1	WT	1.1
III	8	2	54	4.3
III	8	2	56	4.1
III	8	2	54DD	5.9
III	8	2	56DD	5.2
III	8	2	DD	2.4
III	8	2	HK	0
III	8	2	WT	3.8
III	8	3	54	4.5
III	8	3	56	5
III	8	3	54DD	8.4
III	8	3	56DD	4.5
III	8	3	DD	1.4
III	8	3	HK	0
III	8	3	WT	2
III	8	4	54	2.8
III	8	4	56	7.8
III	8	4	54DD	0
III	8	4	56DD	4.1
III	8	4	DD	1.2
III	8	4	HK	0
III	8	4	WT	3.9
III	8	5	54	0
III	8	5	56	3.5
III	8	5	54DD	0
III	8	5	56DD	1.9
III	8	5	DD	0
III	8	5	HK	0
III	8	5	WT	3.6
III	8	6	54	0
III	8	6	56	0
III	8	6	54DD	0
III	8	6	56DD	0
III	8	6	DD	0
III	8	6	HK	0
III	8	6	WT	0
