Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	Halo_size_mm							
Rs	I	___	7	6	Mid_right	5	4.096							
Rs	I	___	7	7	Bottom_left	1								
Rs	I	___	7	7	Bottom_left	2								
Rs	I	___	7	7	Bottom_left	3								
Rs	I	___	7	7	Bottom_left	4								
Rs	I	___	7	7	Bottom_left	5								
Rs	I	___	7	8	Bottom_center	1	4.241							
Rs	I	___	7	8	Bottom_center	2	4.156							
Rs	I	___	7	8	Bottom_center	3	3.991							
Rs	I	___	7	8	Bottom_center	4	3.866							
Rs	I	___	7	8	Bottom_center	5	4.068							
Rs	I	___	7	9	Bottom_right	1	4.408							
Rs	I	___	7	9	Bottom_right	2	4.026							
Rs	I	___	7	9	Bottom_right	3	4.237							
Rs	I	___	7	9	Bottom_right	4	4.222							
Rs	I	___	7	9	Bottom_right	5	4.237							
Rs	I	___	8	1	Top_left	1	4.749							
Rs	I	___	8	1	Top_left	2	4.915							
Rs	I	___	8	1	Top_left	3	4.407							
Rs	I	___	8	1	Top_left	4	4.664							
Rs	I	___	8	1	Top_left	5	4.395							
Rs	I	___	8	2	Top_center	1	5.680							
Rs	I	___	8	2	Top_center	2	5.684							
Rs	I	___	8	2	Top_center	3	4.749							
Rs	I	___	8	2	Top_center	4	5.350							
Rs	I	___	8	2	Top_center	5	5.495							
Rs	I	___	8	3	Top_right	1	5.434							
Rs	I	___	8	3	Top_right	2	5.434							
Rs	I	___	8	3	Top_right	3	4.977							
Rs	I	___	8	3	Top_right	4	5.181							
Rs	I	___	8	3	Top_right	5	5.344							
Rs	I	___	8	4	Mid_left	1	3.391							
Rs	I	___	8	4	Mid_left	2	3.391							
Rs	I	___	8	4	Mid_left	3	2.971							
Rs	I	___	8	4	Mid_left	4	3.391							
Rs	I	___	8	4	Mid_left	5	3.256							
Rs	I	___	8	5	Mid_center	1								
Rs	I	___	8	5	Mid_center	2								
Rs	I	___	8	5	Mid_center	3								
Rs	I	___	8	5	Mid_center	4								
Rs	I	___	8	5	Mid_center	5								
