Well	Time	Temp	Mean	Stdev
E3	1800.3	21.9	0.8477	0.121100001
E4	1800.3	21.9	0.815199971	0.134200007
E5	1800.3	21.9	0.808399975	0.136999995
E6	1800.3	21.9	0.857200027	0.127000004
E7	1800.3	21.9	0.879999995	0.1373
E8	1800.3	21.9	0.844500005	0.175099999
E9	1800.3	21.9	0.796400011	0.086599998
F1	1800.3	21.9	0.819500029	0.099200003
F10	1800.3	21.9	0.895200014	0.059799999
F11	1800.3	21.9	0.823099971	0.087800004
F12	1800.3	21.9	0.846099973	0.093999997
F2	1800.3	21.9	0.755100012	0.075199999
F3	1800.3	21.9	0.771000028	0.068999998
F4	1800.3	21.9	0.877099991	0.082800001
F5	1800.3	21.9	0.916999996	0.1017
F6	1800.3	21.9	0.907000005	0.134399995
F7	1800.3	21.9	0.894800007	0.081900001
F8	1800.3	21.9	0.892700016	0.091499999
F9	1800.3	21.9	0.923699975	0.114699997
G1	1800.3	21.9	0.765100002	0.094099998
G10	1800.3	21.9	0.8495	0.168799996
G10	1800.3	21.9	0.851599991	0.0559
G11	1800.3	21.9	0.895299971	0.120999999
G12	1800.3	21.9	0.91140002	0.159199998
G2	1800.3	21.9	0.763000011	0.1118
G3	1800.3	21.9	0.779200017	0.166099995
G5	1800.3	21.9	0.84009999	0.113399997
G6	1800.3	21.9	0.893299997	0.137799993
G7	1800.3	21.9	0.87559998	0.159899995
G8	1800.3	21.9	1.000200033	0.1228
G9	1800.3	21.9	0.969600022	0.115199998
A1	2100.3	22.1	0.347000003	0.1373
A10	2100.3	22.1	0.349400014	0.138400003
A11	2100.3	22.1	0.451700002	0.1215
A12	2100.3	22.1	0.432700008	0.132400006
A2	2100.3	22.1	0.354600012	0.137999997
A3	2100.3	22.1	0.376899987	0.049600001
A4	2100.3	22.1	0.440499991	0.131699994
A5	2100.3	22.1	0.331800014	0.111599997
A6	2100.3	22.1	0.287600011	0.059700001
A7	2100.3	22.1	0.444000006	0.1347
A8	2100.3	22.1	0.416399986	0.097400002
A9	2100.3	22.1	0.345400006	0.132799998
B1	2100.3	22.1	0.310799986	0.112300001
B10	2100.3	22.1	0.317799985	0.108499996
B11	2100.3	22.1	0.419800013	0.087300003
B12	2100.3	22.1	0.401800007	0.089000002
